question,sparql
Who stepped down as the excavation director of works in Pompeii in 1825?,"SELECT ?obj WHERE { wd:Q43332 p:P4345 ?s . ?s ps:P4345 ?obj . ?s pq:P582 ?x filter(contains(YEAR(?x),'1825')) }"
What is the name of Hannah Murray's character on Game of Thrones?,SELECT ?value WHERE { wd:Q23572 p:P161 ?s . ?s ps:P161 wd:Q231086 . ?s pq:P453 ?value}
What is the Revised Hepburn romanization for Morning Musume with its name in kana モーニングむすめ?,"SELECT ?value WHERE { wd:Q174291 p:P1814 ?s . ?s ps:P1814 ?x filter(contains(?x,'モーニングむすめ')) . ?s pq:P2125 ?value}"
Tell me the branch of philosophy that contains the word {philosophy} in their name,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q22811234 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'philosophy')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
What is the name of a data structure that starts with the letter t.,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q175263 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 't')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
What is the Italian municipality for Cardiff's sister administration?,select distinct ?obj where { wd:Q10690 wdt:P190 ?obj . ?obj wdt:P31 wd:Q747074 }
What award did Alan Hollinghurst receive for his work in The Folding Star?,SELECT ?obj WHERE { wd:Q316048 p:P166 ?s . ?s ps:P166 ?obj . ?s pq:P1686 wd:Q629646 }
What are the lyrics and language of work or name of God Save the Queen?,SELECT ?ans_1 ?ans_2 WHERE { wd:Q40807 wdt:P676 ?ans_1 . wd:Q40807 wdt:P407 ?ans_2 }
What was composed by Giselle that had his father as Louis Adam?,SELECT ?answer WHERE { wd:Q827436 wdt:P86 ?answer . ?answer wdt:P22 wd:Q1349517}
What territory is Montreal the capitol of?,select distinct ?obj where { wd:Q340 wdt:P150 ?obj . ?obj wdt:P31 wd:Q578521 }
"Which {sister has} {kids} of {John Spencer, 8th Earl Spencer} ?",SELECT ?answer WHERE { wd:Q593671 wdt:P40 ?X . ?X wdt:P3373 ?answer}
Tell me fallen angel whose name has the word zaqiel in it.,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q581450 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'zaqiel')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
What was Adam Sandler's estimated net worth in 2015?,"SELECT ?obj WHERE { wd:Q132952 p:P2218 ?s . ?s ps:P2218 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'2015')) }"
Which online dictionary has the highest number of records?,select ?ent where { ?ent wdt:P31 wd:Q3327521 . ?ent wdt:P4876 ?obj } ORDER BY DESC(?obj)LIMIT 5
Which census population method was used to determine the Region of Valparaiso?,SELECT ?obj WHERE { wd:Q219458 p:P1082 ?s . ?s ps:P1082 ?obj . ?s pq:P459 wd:Q39825 }
What is the relation of Q48460 and medical speciality to suicide?,SELECT ?answer WHERE { wd:Q10737 wdt:P1995 ?X . ?X wdt:P1036 ?answer}
Tell me the United States federal executive department that contains the word department in their name,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q910252 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'department')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
Who is the {historical country} for {shares border with} of {Roman Empire},select distinct ?obj where { wd:Q2277 wdt:P47 ?obj . ?obj wdt:P31 wd:Q3024240 }
How many religions are consists with the Al-Juwayni} ?,SELECT (COUNT(?obj) AS ?value ) { wd:Q2584074 wdt:P140 ?obj }
What organization does George Rudinger work at?,SELECT ?answer WHERE { wd:Q1505786 wdt:P108 ?X . ?X wdt:P131 ?answer}
Where is Columbia University's headquarters located which has a postal code 10027?,"SELECT ?obj WHERE { wd:Q49088 p:P159 ?s . ?s ps:P159 ?obj . ?s pq:P281 ?x filter(contains(?x,'10027')) }"
What did Jim Kublin participate as in the event?,SELECT ?answer WHERE { wd:Q18586173 wdt:P1344 ?X . ?X wdt:P1427 ?answer}
What is Craig T. Nelson's spoken language whose name is abbreviated английский?,"SELECT ?answer WHERE { wd:Q329807 wdt:P1412 ?answer . ?answer wdt:P1813 ?x FILTER(contains(?x,'английский'))}"
Znin is adjacent to Dusseldorg as they are twin cities.,SELECT ?answer WHERE { wd:Q1718 wdt:P47 ?answer . ?answer wdt:P190 wd:Q324941}
How many male and female kids does Almanzor have?,SELECT ?answer WHERE { wd:Q334861 wdt:P40 ?answer . ?answer wdt:P21 wd:Q6581097}
When did Shmuel Yosef Agnon win the Nobel Prize in Literature?,SELECT ?value WHERE { wd:Q133042 p:P166 ?s . ?s ps:P166 wd:Q37922 . ?s pq:P585 ?value}
What is the beginnig for Fritz Walter as a member from Germany football player?,SELECT ?value WHERE { wd:Q22717 p:P54 ?s . ?s ps:P54 wd:Q43310 . ?s pq:P580 ?value}
What is the sister city of Ivan Turgenev's hometown?,SELECT ?answer WHERE { wd:Q42831 wdt:P551 ?X . ?X wdt:P190 ?answer}
What is the work of Joseph Campbell and is apart from interpreter ?,SELECT ?answer WHERE { wd:Q295516 wdt:P106 ?answer . ?answer wdt:P1889 wd:Q11085831}
WHICH IS THE GENETIC ASSOCIATION OF MURDER METHOD OF ALEXANDER WOOLLCOTT,SELECT ?answer WHERE { wd:Q361859 wdt:P509 ?X . ?X wdt:P2293 ?answer}
What statement did Harold Prince deliver when he received the Tony Award for Best Direction of a Musical?,SELECT ?value WHERE { wd:Q605924 p:P166 ?s . ?s ps:P166 wd:Q377293 . ?s pq:P805 ?value}
Where Carl Theodor Dreyer born at Denmark died?,SELECT ?obj WHERE { wd:Q51127 p:P20 ?s . ?s ps:P20 ?obj . ?s pq:P17 wd:Q35 }
who sister town of born in of Huban Öztoprak ?,SELECT ?answer WHERE { wd:Q16588877 wdt:P19 ?X . ?X wdt:P190 ?answer}
What is the taxon source of the coral's body?,select distinct ?sbj where { ?sbj wdt:P1672 wd:Q171446 . ?sbj wdt:P31 wd:Q16521 }
"When will United States Representative, Jeanette Rankin's, term end?",SELECT ?value WHERE { wd:Q232407 p:P39 ?s . ?s ps:P39 wd:Q13218630 . ?s pq:P582 ?value}
who telephone code of location born of jack kevorkian ?,SELECT ?answer WHERE { wd:Q46636 wdt:P19 ?X . ?X wdt:P473 ?answer}
What is the county seat of the county in which Olafur Eliasson lives?,SELECT ?answer WHERE { wd:Q365691 wdt:P937 ?X . ?X wdt:P1376 ?answer}
Which territory of Australia was replaced by the Northern Territory?,select distinct ?obj where { wd:Q3235 wdt:P1366 ?obj . ?obj wdt:P31 wd:Q14192234 }
What electoral district did William Beveridge hold as Member of the 37th Parliament of the United Kingdom?,SELECT ?value WHERE { wd:Q335049 p:P39 ?s . ?s ps:P39 wd:Q41582593 . ?s pq:P768 ?value}
Which is the golf course arena carrying designs patterns of Donald Trump?,select distinct ?sbj where { ?sbj wdt:P287 wd:Q22686 . ?sbj wdt:P31 wd:Q1048525 }
Who is the  {plantation} for {architect} of {Thomas Jefferson},select distinct ?sbj where { ?sbj wdt:P84 wd:Q11812 . ?sbj wdt:P31 wd:Q188913 }
how many signatories does south korea have?,SELECT (COUNT(?sub) AS ?value ) { ?sub wdt:P1891 wd:Q884 }
"Which nomination did Shelley Winters receive for her work in ""A place in the Sun""?",SELECT ?obj WHERE { wd:Q202144 p:P1411 ?s . ?s ps:P1411 ?obj . ?s pq:P1686 wd:Q733627 }
What are the coordinates for the river source of Moselle?,SELECT ?obj WHERE { wd:Q1667 p:P625 ?s . ?s ps:P625 ?obj . ?s pq:P518 wd:Q7376362 }
Which award did Jacinto Benavente receive in the year 1922?,"SELECT ?obj WHERE { wd:Q83184 p:P166 ?s . ?s ps:P166 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'1922')) }"
What is the deathplace of Natalia Molchanova with a government headed by Jaume Ferrer Ribas?,SELECT ?answer WHERE { wd:Q59920 wdt:P20 ?answer . ?answer wdt:P6 wd:Q11684565}
"On Jan 1st, 1915, what did Henri Bergson get nominated for?","SELECT ?obj WHERE { wd:Q42156 p:P1411 ?s . ?s ps:P1411 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'1915')) }"
Which Titian's disciple was born in 1540-1-1?,"SELECT ?answer WHERE { wd:Q47551 wdt:P802 ?answer . ?answer wdt:P569 ?x FILTER(contains(YEAR(?x),'1540'))}"
What religion do the children of Mahisente Habte Mariam follow?,SELECT ?answer WHERE { wd:Q6734112 wdt:P40 ?X . ?X wdt:P140 ?answer}
When was Alexander Karelin become the citizen of Russia?,SELECT ?value WHERE { wd:Q187247 p:P27 ?s . ?s ps:P27 wd:Q159 . ?s pq:P580 ?value}
What is the Hepatitis B gene?,select distinct ?obj where { wd:Q6853 wdt:P2293 ?obj . ?obj wdt:P31 wd:Q7187 }
Who produces and makes 300B?,SELECT ?answer WHERE { wd:Q4634305 wdt:P176 ?X . ?X wdt:P1056 ?answer}
What are the active ingredients of the pharmaceutical product niacin,select distinct ?sbj where { ?sbj wdt:P3781 wd:Q134658 . ?sbj wdt:P31 wd:Q28885102 }
Which bridge did engineer Isambard Kingdom Burnel build?,select distinct ?sbj where { ?sbj wdt:P631 wd:Q207380 . ?sbj wdt:P31 wd:Q537127 }
What are the mass media which start with the letter youtube,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q11033 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'youtube')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
Which is the release version for Steam on computer?,SELECT ?answer WHERE { wd:Q337535 wdt:P400 ?X . ?X wdt:P348 ?answer}
What position did Halford Mackinder hold in the Glasgow Camlachie district?,SELECT ?obj WHERE { wd:Q299938 p:P39 ?s . ?s ps:P39 ?obj . ?s pq:P768 wd:Q5566762 }
what is the history of topic and the geography of topic of  korea?,SELECT ?ans_1 ?ans_2 WHERE { wd:Q18097 wdt:P2184 ?ans_1 . wd:Q18097 wdt:P2633 ?ans_2 }
How many Doctor Who spin-offs are there?,SELECT (COUNT(?obj) AS ?value ) { wd:Q34316 wdt:P2512 ?obj }
"Which is next to Xinjiang, that has arrondissements as Haidong?",SELECT ?answer WHERE { wd:Q34800 wdt:P47 ?answer . ?answer wdt:P150 wd:Q984788}
When the statement was declared that German is sharing its border with the Poland?,SELECT ?value WHERE { wd:Q183 p:P47 ?s . ?s ps:P47 wd:Q36 . ?s pq:P805 ?value}
Harriet Tubman's death occurred where and how?,SELECT ?ans_1 ?ans_2 WHERE { wd:Q102870 wdt:P1196 ?ans_1 . wd:Q102870 wdt:P20 ?ans_2 }
Which child of Julio Iglesias won the Latin Grammy Award for Best Male Pop Vocal Album?,SELECT ?answer WHERE { wd:Q122003 wdt:P40 ?answer . ?answer wdt:P166 wd:Q6496361}
Where is the operating area for Super Rugby?,SELECT (COUNT(?obj) AS ?value ) { wd:Q855988 wdt:P2541 ?obj }
Which is the birthplace of J.Edgar Hoover in the territory identical with District of Columbia?,SELECT ?answer WHERE { wd:Q210435 wdt:P19 ?answer . ?answer wdt:P3403 wd:Q3551781}
What are the health profession which start with the letter r,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q3922583 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'r')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
What medical condition is treated with Sodium Bicarbonate?,SELECT ?answer WHERE { wd:Q179731 wdt:P2175 ?X . ?X wdt:P1995 ?answer}
What is the time zone where the Battle of Mars Los Angeles Tour is located?,SELECT ?answer WHERE { wd:Q699262 wdt:P276 ?X . ?X wdt:P421 ?answer}
What are the interdisciplinary science which start with the letter toxicology,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q1665984 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'toxicology')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
Who is {disciple} and {supervisor} of {David Ward-Steinman} ?,SELECT ?answer WHERE { wd:Q5240827 wdt:P1066 ?X . ?X wdt:P802 ?answer}
"In the 68th Academy Awards, what nomination did Mira Sorvino receive?",SELECT ?obj WHERE { wd:Q212026 p:P1411 ?s . ?s ps:P1411 ?obj . ?s pq:P805 wd:Q903494 }
Where is the work location of Harthacanute which belongs to Asian Development Bank,SELECT ?answer WHERE { wd:Q190091 wdt:P937 ?answer . ?answer wdt:P463 wd:Q188822}
What is between the connection of Fukushima Prefectural Road Route 52?,SELECT ?answer WHERE { wd:Q11593658 wdt:P2789 ?X . ?X wdt:P609 ?answer}
What are the phonetic alphabet which start with the letter t,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q579287 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 't')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
Where the human place of burial of Venice?,select distinct ?sbj where { ?sbj wdt:P119 wd:Q641 . ?sbj wdt:P31 wd:Q5 }
What gospel should be read for the present day work of David?,select distinct ?obj where { wd:Q41370 wdt:P1441 ?obj . ?obj wdt:P31 wd:Q34274 }
What was discovered by Urban Le Verrier that Proteus orbits around?,SELECT ?answer WHERE { wd:Q16081 wdt:P397 ?answer . ?answer wdt:P61 wd:Q104154}
What is the religious text provided by the biblical figure David?,select distinct ?obj where { wd:Q41370 wdt:P1441 ?obj . ?obj wdt:P31 wd:Q179461 }
"Who is the head of government in London, and what office do they hold?",SELECT ?ans_1 ?ans_2 WHERE { wd:Q23311 wdt:P6 ?ans_1 . wd:Q23311 wdt:P1313 ?ans_2 }
Tell me the festival which starts with the letter v!,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q132241 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'v')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
What is the series that Rudolf Steiner was known as Rudolf?,SELECT ?value WHERE { wd:Q78484 p:P735 ?s . ?s ps:P735 wd:Q18028491 . ?s pq:P1545 ?value}
What are the hot spring which start with the letter u,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q177380 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'u')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
How many directors are there for Americal Idol?,SELECT (COUNT(?obj) AS ?value ) { wd:Q201052 wdt:P57 ?obj }
"Which is the shopping day that starts with ""b""?","SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q43516519 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'b')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
For what John O.Aalberg was nominated for in It's a Wonderful Life?,SELECT ?obj WHERE { wd:Q204191 p:P1411 ?s . ?s ps:P1411 ?obj . ?s pq:P2453 wd:Q1699086 }
What is the new position for Yahya Khan who once held the position of Minister of Foreign affairs?,SELECT ?value WHERE { wd:Q333981 p:P39 ?s . ?s ps:P39 wd:Q2332457 . ?s pq:P1366 ?value}
What takes place on Rosh Hashanah in the month of Tishrei?,SELECT ?answer WHERE { wd:Q131028 wdt:P837 ?answer . ?answer wdt:P2922 wd:Q217782}
For what piece of work was Viola Davis nominated for a Tony Award for Best Featured Actress in a Play?,SELECT ?value WHERE { wd:Q229181 p:P1411 ?s . ?s ps:P1411 wd:Q627778 . ?s pq:P805 ?value}
What portrait has the Woman Drinking Wine wearing a pendant?,SELECT ?answer WHERE { wd:Q32995247 wdt:P1639 ?X . ?X wdt:P180 ?answer}
To what office did Joe Byrd succeed Wilma Mankiller?,SELECT ?obj WHERE { wd:Q2327358 p:P39 ?s . ?s ps:P39 ?obj . ?s pq:P1366 wd:Q6208909 }
What is major event of participant event of Jim Clark ?,SELECT ?answer WHERE { wd:Q3137 wdt:P1344 ?X . ?X wdt:P793 ?answer}
What is the political party that Hillary Clinton is a member of?,SELECT ?ans_1 ?ans_2 WHERE { wd:Q6294 wdt:P463 ?ans_1 . wd:Q6294 wdt:P102 ?ans_2 }
Which business enterprise has highest operating income?,select ?ent where { ?ent wdt:P31 wd:Q4830453 . ?ent wdt:P3362 ?obj } ORDER BY DESC(?obj)LIMIT 5
What city in New York was Martin Balsam born in?,SELECT ?obj WHERE { wd:Q312107 p:P19 ?s . ?s ps:P19 ?obj . ?s pq:P131 wd:Q1384 }
What is the TV host of the copy of Berpacu Dalam Melodi?,SELECT ?answer WHERE { wd:Q12475983 wdt:P144 ?X . ?X wdt:P371 ?answer}
Who was a student of Maurice Ravel?,select distinct ?obj where { wd:Q1178 wdt:P1066 ?obj . ?obj wdt:P31 wd:Q5 }
TELL ME HISTORICAL REGION THAT STARTS WITH THE LETTER V,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q1620908 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'v')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
What is the stature of CN Tower that is the standard utilized is tallness to the involved floor?,SELECT ?obj WHERE { wd:Q134883 p:P2048 ?s . ?s ps:P2048 ?obj . ?s pq:P1013 wd:Q31271474 }
What is the farthest the Max Planck Institute for Solar System Research telescope can see?,select ?ent where { ?ent wdt:P31 wd:Q1238291 . ?ent wdt:P2151 ?obj . ?ent wdt:P137 wd:Q470648 } ORDER BY DESC(?obj)LIMIT 5
What is Mizoram?,select distinct ?obj where { wd:Q1502 wdt:P3403 ?obj . ?obj wdt:P31 wd:Q57156205 }
Who designed Structured Query Language?,select distinct ?obj where { wd:Q47607 wdt:P287 ?obj . ?obj wdt:P31 wd:Q5 }
What military branch of the air force did Yuri Gagarin work for?,select distinct ?obj where { wd:Q7327 wdt:P241 ?obj . ?obj wdt:P31 wd:Q61883 }
What is the name of the invention by Humphry Davy that uses Faraday's law of induction?,SELECT ?answer WHERE { wd:Q181465 wdt:P138 ?answer . ?answer wdt:P737 wd:Q131761}
"Tell me me a cryptocurrenc whose name consist of the word ""neo"" and whose stock exchange bitfinex","SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q13479982 . ?sbj wdt:P414 wd:Q29647473 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'neo')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
What type of money do they use in Hong Kong?,select distinct ?obj where { wd:Q8646 wdt:P38 ?obj . ?obj wdt:P31 wd:Q8142 }
"What is in the shire of Anhui, where the title of the head of government is Premier of the People's Republic of China?",SELECT ?answer WHERE { wd:Q40956 wdt:P131 ?answer . ?answer wdt:P1313 wd:Q4122271}
Which tank locomotive has the highest number of cylinders with a 0-4-OT wheel arrangement?,select ?ent where { ?ent wdt:P31 wd:Q785745 . ?ent wdt:P1100 ?obj . ?ent wdt:P2978 wd:Q26234727 } ORDER BY DESC(?obj)LIMIT 5
What is notable about the woman depicted in Le Déjeuner sur l'herbe?,SELECT ?value WHERE { wd:Q152509 p:P180 ?s . ?s ps:P180 wd:Q467 . ?s pq:P518 ?value}
Which is {facility operated} and {operated by} {Singapore Airlines Flight 368} ?,SELECT ?answer WHERE { wd:Q24844462 wdt:P137 ?X . ?X wdt:P121 ?answer}
Which is the trend that contains the word zlatkoisierung in it's name?,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q1514415 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'zlatkoisierung')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
What does the statue of Dante Alighieri depict,select distinct ?sbj where { ?sbj wdt:P180 wd:Q1067 . ?sbj wdt:P31 wd:Q179700 }
Who are the inhabitants of the basin countries of Barents Sea?,SELECT ?answer WHERE { wd:Q45823 wdt:P205 ?X . ?X wdt:P1082 ?answer}
Which party member was a suspect in the German presidential election of 2009?,SELECT ?answer WHERE { wd:Q707051 wdt:P710 ?X . ?X wdt:P102 ?answer}
What notable work was produced by Giotto di Bondone in 1300?,"SELECT ?obj WHERE { wd:Q7814 p:P800 ?s . ?s ps:P800 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'1300')) }"
What is Robert Mugabe's religion and citizenship?,SELECT ?ans_1 ?ans_2 WHERE { wd:Q10707 wdt:P140 ?ans_1 . wd:Q10707 wdt:P27 ?ans_2 }
Who gave the{effect of} of {represents} of {Old Woman} ?,SELECT ?answer WHERE { wd:Q29656429 wdt:P180 ?X . ?X wdt:P828 ?answer}
Tell me the isotope hydrogen which follows deuterium and whose name starts with t?,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q466603 . ?sbj wdt:P155 wd:Q102296 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 't')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
Which ice hockey team season has the highest number of points/goals conceded?,select ?ent where { ?ent wdt:P31 wd:Q27020779 . ?ent wdt:P1359 ?obj } ORDER BY DESC(?obj)LIMIT 5
"What municipality of Catalonia, that is located in Bages,  is the most populated?",select ?ent where { ?ent wdt:P31 wd:Q33146843 . ?ent wdt:P1082 ?obj . ?ent wdt:P131 wd:Q15346 } ORDER BY DESC(?obj)LIMIT 5
What taxon ranked species has the shortest gestation period?,select ?ent where { ?ent wdt:P31 wd:Q16521 . ?ent wdt:P3063 ?obj . ?ent wdt:P105 wd:Q7432} ORDER BY ASC(?obj)LIMIT 5
Tell me  a album whose name consist of the word wall and whose english is the language of work,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q482994 . ?sbj wdt:P407 wd:Q1860 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'wall')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
Who was Louis Pasteur main influence ?,select distinct ?sbj where { ?sbj wdt:P737 wd:Q529 . ?sbj wdt:P31 wd:Q5 }
Where is Akhenaten buried and where did they die?,SELECT ?ans_1 ?ans_2 WHERE { wd:Q81794 wdt:P119 ?ans_1 . wd:Q81794 wdt:P20 ?ans_2 }
Where was David Icke born and what position does he play?,SELECT ?ans_1 ?ans_2 WHERE { wd:Q333118 wdt:P413 ?ans_1 . wd:Q333118 wdt:P19 ?ans_2 }
What are the intergovernmental organization that contains the word southern in their name,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q245065 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'southern')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
What is the official website for the John Betjeman archives at Leeds University Library?,SELECT ?value WHERE { wd:Q962308 p:P485 ?s . ?s ps:P485 wd:Q24568958 . ?s pq:P856 ?value}
What is the URL language in Naturwissenschaften with typology in a stress-timed language?,SELECT ?answer WHERE { wd:Q324878 wdt:P407 ?answer . ?answer wdt:P4132 wd:Q7888721}
Which {member} is {author} of {Two Treatises of Government} ?,SELECT ?answer WHERE { wd:Q231949 wdt:P50 ?X . ?X wdt:P463 ?answer}
Who gave the  {sector} of {developed by} of {Ms. Pac-Man} ?,SELECT ?answer WHERE { wd:Q2141683 wdt:P178 ?X . ?X wdt:P452 ?answer}
Where is Glasgow nearest body of water located and where is the administrative territorial entity located?,SELECT ?ans_1 ?ans_2 WHERE { wd:Q4093 wdt:P206 ?ans_1 . wd:Q4093 wdt:P131 ?ans_2 }
What awards has Aruna Irani received?,SELECT ?answer WHERE { wd:Q158225 wdt:P166 ?X . ?X wdt:P1346 ?answer}
What is the Wikimedia list page for The Thinker,select distinct ?sbj where { ?sbj wdt:P360 wd:Q18003128 . ?sbj wdt:P31 wd:Q13406463 }
Who painted Mona Lisa ?,select distinct ?sbj where { ?sbj wdt:P1299 wd:Q12418 . ?sbj wdt:P31 wd:Q5 }
Which color appears in Rocketeer?,SELECT ?answer WHERE { wd:Q13476036 wdt:P1441 ?X . ?X wdt:P462 ?answer}
